stt,ten_anh,ground_truth,du_doan_cuoi,du_doan_module_goc,khop_voi_module_goc,dung_bien_so,accuracy_ky_tu,edit_distance,hop_cau_truc_du_doan,so_box_yolo,fallback_anh_goc,so_bien_the_co_text,so_ung_vien,co_ung_vien_dung,ung_vien_thang_hop_cau_truc,ung_vien_thang_so_sua,ung_vien_thang_so_lan,ung_vien_thang_conf,bien_the_thang,ly_do_chon,thoi_gian_ms,nhom_loi
1,001.jpg,38A27374,38A27374,38A27374,True,True,1.0,0,True,0,True,3,2,True,True,0.0,2,0.9747164845466614,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.975,733.6229000065941,Đúng
2,002.jpg,59X139458,,,True,False,0.0,9,False,3,False,0,0,False,False,,0,0.0,,Không có ứng viên sau OCR và hậu xử lý,249.294799999916,OCR không đọc ra ký tự
3,003.jpg,81A23618,81A23618,81A23618,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9668994843959808,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.967,536.4772000029916,Đúng
4,004.jpg,51H69860,51H69860,51H69860,True,True,1.0,0,True,1,False,3,3,True,True,0.0,1,0.9717600345611572,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.972,437.85570000181906,Đúng
5,005.jpg,51C05509,51C05509,51C05509,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9625244140625,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.963,392.39310000266414,Đúng
6,006.jpg,51G94706,51G94706,51G94706,True,True,1.0,0,True,1,False,3,1,True,True,1.0,3,0.9445783495903015,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 3 lần; OCR tin cậy 0.945,354.79680000571534,Đúng
7,007.jpg,59P241572,59P241572,59P241572,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9449382126331329,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.945,581.1401000100886,Đúng
8,008.jpg,77L160030,77L160030,77L160030,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.970388799905777,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.970,506.3007999997353,Đúng
9,009.jpg,94AB08770,94AB08770,94AB08770,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9575213491916656,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.958,560.9169999952428,Đúng
10,010.jpg,71B350531,50S37,50S37,True,False,0.33333333333333337,6,False,1,False,3,2,False,False,1.0,2,0.8427636623382568,crop 0 - Ảnh CLAHE,Hợp cấu trúc=False; sửa 1 ký tự; xuất hiện 2 lần; OCR tin cậy 0.843,348.78329999628477,OCR đọc thiếu ký tự
11,011.jpg,79A11283,79A11283,79A11283,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9544214010238647,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.954,350.83270000177436,Đúng
12,012.jpg,51A81930,51A81930,51A81930,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9725020825862885,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.973,547.133500003838,Đúng
13,013.jpg,60F128808,28B68,28B68,True,False,0.33333333333333337,6,False,1,False,1,1,False,False,1.0,1,0.7791541814804077,crop 0 - Ảnh gốc,Hợp cấu trúc=False; sửa 1 ký tự; xuất hiện 1 lần; OCR tin cậy 0.779,203.74700000684243,OCR đọc thiếu ký tự
14,014.jpg,81B321596,81B321596,81B321596,True,True,1.0,0,True,1,False,3,2,True,True,1.0,2,0.9470506608486176,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 2 lần; OCR tin cậy 0.947,511.01220000418834,Đúng
15,015.jpg,29H17054,29H17054,29H17054,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9686442613601685,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.969,427.8080000076443,Đúng
16,016.jpg,30E43502,30E43502,30E43502,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9541935920715332,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.954,425.1591000065673,Đúng
17,017.jpg,30A26144,30A26144,30A26144,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.99013552069664,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.990,566.7866000003414,Đúng
18,018.jpg,89C15637,89C15637,89C15637,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9892957210540771,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.989,612.189399995259,Đúng
19,019.jpg,89A15961,89A15961,89A15961,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9583758115768433,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.958,463.5792999906698,Đúng
20,020.jpg,30A26144,30A26144,30A26144,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9888142347335815,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.989,354.5746999880066,Đúng
21,021.jpg,29C80581,29C80581,29C80581,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.995763748884201,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.996,587.0566999947187,Đúng
22,022.jpg,30E45676,30E45676,30E45676,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9795055389404297,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.980,665.5511999997543,Đúng
23,023.jpg,30F5204,30F5204,30F5204,True,True,1.0,0,True,2,False,6,4,True,True,0.0,2,0.99351367354393,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.994,1322.1942999953171,Đúng
24,024.jpg,30F5204,30F5204,30F5204,True,True,1.0,0,True,2,False,6,1,True,True,0.0,6,0.9958084225654602,crop 1 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 6 lần; OCR tin cậy 0.996,1128.9626000070712,Đúng
25,025.jpg,51G52911,51G52911,51G52911,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9503691792488098,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.950,479.2979000048945,Đúng
26,026.jpg,29A85437,29A85437,29A85437,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9584167003631592,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.958,509.53899999149144,Đúng
27,027.jpg,30F85806,30F85806,30F85806,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9832130670547485,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.983,468.7733000027947,Đúng
28,028.jpg,30V8692,30V8692,30V8692,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9936717748641968,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.994,713.9717999962159,Đúng
29,029.jpg,30A92645,30A92645,30A92645,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9729361236095428,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.973,685.5800999910571,Đúng
30,030.jpg,88A03336,88A03336,88A03336,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9802116751670837,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.980,566.8326000013622,Đúng
31,031.jpg,30F10317,30F10317,30F10317,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9699522852897644,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.970,444.21699999656994,Đúng
32,032.jpg,29A26128,29A26128,29A26128,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9956486821174622,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.996,719.4860000017798,Đúng
33,033.jpg,30F50833,30F50833,30F50833,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9926589131355286,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.993,429.30400000477675,Đúng
34,034.jpg,30A88459,30A88459,30A88459,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9881285429000854,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.988,563.2700999994995,Đúng
35,035.jpg,15A00635,15A00635,15A00635,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9825364947319031,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.983,531.0388000070816,Đúng
36,036.jpg,30F07555,30F07555,30F07555,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9889285862445831,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.989,696.3287000107812,Đúng
37,037.jpg,30F07555,30F07555,30F07555,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9936519861221313,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.994,603.60230000515,Đúng
38,038.jpg,30E12176,30E12176,30E12176,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9842160940170288,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.984,537.3185999924317,Đúng
39,039.jpg,29H15079,29H15079,29H15079,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9893244504928589,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.989,623.6827000102494,Đúng
40,040.jpg,14A25074,14A25074,14A25074,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9959673881530762,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.996,420.02649999631103,Đúng
41,041.jpg,29A25885,29A25885,29A25885,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9851000905036926,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.985,658.1278999947244,Đúng
42,042.jpg,30F27580,30F27580,30F27580,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9752060770988464,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.975,493.4097999939695,Đúng
43,043.jpg,30E34411,30E34411,30E34411,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9961644411087036,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.996,472.41469999426045,Đúng
44,044.jpg,30F36253,30F36253,30F36253,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9911969900131226,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.991,453.77719998941757,Đúng
45,045.jpg,29H37260,29H37260,29H37260,True,True,1.0,0,True,2,False,6,1,True,True,0.0,6,0.9945467710494995,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 6 lần; OCR tin cậy 0.995,797.5161999929696,Đúng
46,046.jpg,30F39361,30F39361,30F39361,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9810546636581421,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.981,720.1587999879848,Đúng
47,047.jpg,30E43843,30E43843,30E43843,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.980674147605896,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.981,448.71550000971183,Đúng
48,048.jpg,30A48483,30A8483,30A8483,True,False,0.875,1,True,1,False,3,2,True,True,0.0,2,0.9915295839309692,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.992,623.818799998844,Có ứng viên đúng nhưng chọn sai
49,049.jpg,30E66266,30E66266,30E66266,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9818196296691895,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.982,485.6164000084391,Đúng
50,050.jpg,30F86404,30F86404,30F86404,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9862144589424133,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.986,475.74819999863394,Đúng
51,051.jpg,89A10341,89A10341,89A10341,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9844257831573486,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.984,685.5191999929957,Đúng
52,052.jpg,89A10868,89A10868,89A10868,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9909222722053528,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.991,635.3489000030095,Đúng
53,053.jpg,29A09586,29A09586,29A09586,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9833067655563354,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.983,404.7679000068456,Đúng
54,054.jpg,29A33928,29A33928,29A33928,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9958029091358185,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.996,667.7005999954417,Đúng
55,055.jpg,29A46294,29A46294,29A46294,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9828656315803528,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.983,412.8815999865765,Đúng
56,056.jpg,30F57808,30F57808,30F57808,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9664593935012817,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.966,660.1905999996234,Đúng
57,057.jpg,30A74491,30A74491,30A74491,True,True,1.0,0,True,1,False,2,2,True,True,0.0,1,0.9158002138137817,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.916,465.4365000023972,Đúng
58,058.jpg,30F77159,30F77159,30F77159,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9699710607528687,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.970,419.13570000906475,Đúng
59,059.jpg,89A20061,89A20061,89A20061,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9687114953994751,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.969,434.24339999910444,Đúng
60,060.jpg,51A64826,51A64826,51A64826,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9648963212966919,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.965,467.9977999912808,Đúng
61,061.jpg,51F79512,51F79512,51F79512,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9777513742446899,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.978,484.1984000086086,Đúng
62,062.jpg,51F04275,51F04275,51F04275,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9714387059211731,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.971,424.33819999860134,Đúng
63,063.jpg,51F79512,51F79512,51F79512,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.986845850944519,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.987,493.3173000026727,Đúng
64,064.jpg,51A05227,51A05227,51A05227,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9656974077224731,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.966,446.4740000112215,Đúng
65,065.jpg,51F06948,51F06948,51F06948,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9856175184249878,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.986,415.8754999953089,Đúng
